MP,FG,FGA,FG%,3PA,3P,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,Chicago Score,Opponent Score,W/L
240,39,85,.459,10,29,.345,6,10,.600,7,36,43,29,2,4,14,12,94,113,0
240,37,96,.385,10,33,.303,14,21,.667,14,36,50,23,5,5,10,18,98,108,0
240,40,85,.471,6,24,.250,11,17,.647,8,31,39,22,11,0,13,22,97,108,0
240,36,87,.414,11,34,.324,11,14,.786,12,28,40,25,7,2,15,15,94,106,0
240,46,91,.505,18,37,.486,10,17,.588,15,41,56,33,10,8,17,20,120,99,1
240,43,99,.434,18,40,.450,17,18,.944,15,37,52,26,10,4,9,20,121,99,1
240,43,84,.512,12,32,.375,10,14,.714,5,38,43,27,6,3,8,22,108,96,1
240,39,96,.406,18,44,.409,11,14,.786,10,35,45,21,4,5,9,20,107,115,0
240,45,83,.542,17,36,.472,7,10,.700,8,43,51,31,4,4,18,15,114,102,1
240,34,98,.347,11,41,.268,12,17,.706,19,33,52,24,7,4,9,13,91,105,0
240,45,87,.517,14,32,.438,14,19,.737,8,37,45,23,8,8,16,20,118,112,1
